Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
2017-07-13,01:00,2017,7,LATO,287.5546569824219,286.85252380371094,95.55162696376982,4.63629150390625,-5.36907958984375,7.093815232388704,130.81116639796278,99781.1484375,0.0025689061731100082
2017-07-13,02:00,2017,7,LATO,287.0678253173828,285.99554443359375,93.25274745852984,4.9667205810546875,-4.4210205078125,6.649340994472378,138.3268031052546,99927.57421875,0.00150359608232975
2017-07-13,03:00,2017,7,LATO,286.64190673828125,285.2710876464844,91.4198088692522,5.1678466796875,-3.3818511962890625,6.1760470220521215,146.79916869765037,100073.24609375,3.835335373878479E-4
2017-07-13,04:00,2017,7,LATO,286.2436065673828,284.4313659667969,88.7655330688552,5.2255401611328125,-2.70452880859375,5.883939671013416,152.63573887139478,100174.046875,1.0117888450622559E-5
2017-07-13,05:00,2017,7,LATO,286.4046173095703,284.3236999511719,87.21344229005442,4.92181396484375,-1.91754150390625,5.2821603652041835,158.7140835863978,100271.48046875,1.7657876014709473E-6
2017-07-13,06:00,2017,7,LATO,286.87132263183594,284.2361755371094,84.11420922724892,6.381927490234375,-2.840728759765625,6.985609377654091,156.00515829343556,100348.98828125,2.6017427444458008E-5
2017-07-13,07:00,2017,7,LATO,287.51087951660156,284.1133575439453,80.04372106261827,6.286712646484375,-3.45135498046875,7.171792460792004,151.23356590560394,100473.859375,1.095309853553772E-4
2017-07-13,08:00,2017,7,LATO,288.6750183105469,283.5077819824219,71.33196394897952,6.2042083740234375,-3.3898468017578125,7.069884220246482,151.348751056237,100554.47265625,1.4281272888183594E-4
2017-07-13,09:00,2017,7,LATO,289.02215576171875,283.3390197753906,68.98345612138965,5.94366455078125,-3.182647705078125,6.742135767459206,151.83233399179193,100622.03515625,6.943196058273315E-5
2017-07-13,10:00,2017,7,LATO,289.7304229736328,283.1367645263672,65.0535141679368,5.72283935546875,-2.8434295654296875,6.390303747245638,153.57922029313852,100648.95703125,6.432086229324341E-5
2017-07-13,11:00,2017,7,LATO,290.35142517089844,282.80377197265625,61.16220656429273,5.6240081787109375,-2.549407958984375,6.174864284787188,155.6148324546158,100692.9765625,1.4521181583404541E-5
2017-07-13,12:00,2017,7,LATO,290.95750427246094,282.57208251953125,57.95852802622947,5.6733245849609375,-2.46795654296875,6.186874925542334,156.49044728528543,100713.015625,8.955597877502441E-6
2017-07-13,13:00,2017,7,LATO,291.4756317138672,282.3804931640625,55.38382027213267,5.5074310302734375,-2.462615966796875,6.032932450570091,155.9084698434076,100750.17578125,3.2812355925671E-6
2017-07-13,14:00,2017,7,LATO,291.593505859375,282.0934753417969,53.92307400850359,5.06597900390625,-2.462222099304199,5.632644222238871,154.07881809938522,100753.57421875,0.0
2017-07-13,15:00,2017,7,LATO,291.6749725341797,281.8382873535156,52.73203395844338,4.502655029296875,-2.5348453521728516,5.167140725032051,150.62193275595814,100735.44921875,0.0
2017-07-13,16:00,2017,7,LATO,291.6409454345703,281.4203796386719,51.37011437028711,3.8765716552734375,-2.5838146209716797,4.658745087898292,146.31572929375977,100758.1953125,0.0
2017-07-13,17:00,2017,7,LATO,291.24205017089844,281.3094177246094,52.276505429132726,2.9290771484375,-2.323054313659668,3.7384588115574506,141.58202718599068,100747.51171875,0.0
2017-07-13,18:00,2017,7,LATO,290.4940643310547,281.4453125,55.30644212892947,2.0354461669921875,-2.0574655532836914,2.8941675144455883,134.69175838213062,100765.75,1.5749037629575469E-9
2017-07-13,19:00,2017,7,LATO,289.23670959472656,280.96148681640625,57.96516850727254,2.4343414306640625,-1.4090118408203125,2.8127091155360167,149.93747669686206,100795.28125,0.0
2017-07-13,20:00,2017,7,LATO,288.2650451660156,281.06475830078125,62.1213311421087,2.1480255126953125,-1.1777925491333008,2.449736494397689,151.2634228389078,100840.34375,0.0
2017-07-13,21:00,2017,7,LATO,287.27235412597656,281.23899841308594,67.01955851950274,2.08740234375,-1.128493309020996,2.3729192344448116,151.6034180640156,100819.0859375,0.0
2017-07-13,22:00,2017,7,LATO,286.5067901611328,281.4502410888672,71.45417015458622,1.9370880126953125,-1.0767822265625,2.216251324279079,150.9313342332548,100846.890625,0.0
2017-07-13,23:00,2017,7,LATO,285.75738525390625,281.7041778564453,76.34269482606233,1.7651824951171875,-0.8294219970703125,1.950335891658728,154.83215917849486,100834.5078125,0.0
2017-07-14,00:00,2017,7,LATO,284.75048828125,281.88499450683594,82.57569343620403,1.78118896484375,-0.4087982177734375,1.8274983204741635,167.07397794391443,100808.0,0.0
2017-07-14,01:00,2017,7,LATO,283.9775848388672,281.8278350830078,86.57984142602648,1.826873779296875,-0.0570526123046875,1.8277644284899617,178.2112547384545,100790.44140625,0.0
2017-07-14,02:00,2017,7,LATO,283.62890625,281.7611083984375,88.21363284103938,1.87103271484375,0.11623477935791016,1.8746396837653778,183.55483614115843,100769.875,0.0
2017-07-14,03:00,2017,7,LATO,283.2825164794922,281.63206481933594,89.49172311113271,1.87841796875,0.1738910675048828,1.886449619968915,185.28897666770624,100753.6796875,0.0
2017-07-14,04:00,2017,7,LATO,283.64234924316406,282.14837646484375,90.47020032773658,1.52862548828125,0.12985610961914062,1.5341311849475285,184.85559538663458,100724.01171875,0.0
2017-07-14,05:00,2017,7,LATO,285.8223114013672,283.05224609375,83.23913264298146,1.0018463134765625,0.045737266540527344,1.0028897912418782,182.61390793898727,100716.67578125,0.0
2017-07-14,06:00,2017,7,LATO,287.28358459472656,283.20257568359375,76.44666308711876,0.882568359375,-0.054038047790527344,0.884221137260861,176.49625813727528,100701.9921875,0.0
2017-07-14,07:00,2017,7,LATO,288.3987579345703,283.9690246582031,74.87187363752672,0.9544525146484375,0.18790721893310547,0.9727737278760666,191.13763084525462,100686.96484375,0.0
2017-07-14,08:00,2017,7,LATO,289.45228576660156,283.3780822753906,67.29163326433735,1.0135040283203125,0.5992002487182617,1.1773832653327154,210.59227762296996,100666.3984375,0.0
2017-07-14,09:00,2017,7,LATO,290.5310821533203,282.2249755859375,58.16344996685903,2.03082275390625,0.35669517517089844,2.0619099169880246,189.96186144852902,100650.08203125,2.4691224098205566E-5
2017-07-14,10:00,2017,7,LATO,290.6219482421875,281.51329040527344,55.115009602911094,2.00054931640625,0.08110427856445312,2.002192665897809,182.32155712128562,100613.1953125,6.216764347755088E-6
2017-07-14,11:00,2017,7,LATO,290.85337829589844,281.2843780517578,53.479542235571934,1.766143798828125,-0.04669380187988281,1.7667609428762676,178.48555100814553,100581.7890625,2.6777386722187657E-5
2017-07-14,12:00,2017,7,LATO,291.3551025390625,281.1138458251953,51.22162154761101,1.582275390625,0.011027336120605469,1.582313816510307,180.3993044407125,100546.98828125,4.823505878448486E-5
2017-07-14,13:00,2017,7,LATO,291.50083923339844,281.0191650390625,50.429687016406966,1.4552154541015625,0.04423809051513672,1.455887710817164,181.7412373630072,100535.3515625,1.5661120414733887E-5
2017-07-14,14:00,2017,7,LATO,291.51959228515625,281.07513427734375,50.56258070819701,1.1900787353515625,0.041934967041015625,1.190817340231786,182.0181042258708,100492.59375,5.662441253662109E-6
2017-07-14,15:00,2017,7,LATO,291.67161560058594,281.0216827392578,49.90153025450712,1.0161895751953125,0.023115158081054688,1.0164524402394546,181.30307639403506,100473.09765625,1.093745231628418E-5
2017-07-14,16:00,2017,7,LATO,291.6999969482422,280.9749298095703,49.654706283548755,0.60638427734375,-0.2645092010498047,0.6615640628463035,156.43282261230206,100424.17578125,0.0
2017-07-14,17:00,2017,7,LATO,291.6161193847656,281.0137176513672,50.04813201293856,0.1547393798828125,-0.43611717224121094,0.46275529560469364,109.53526931540756,100421.1328125,0.0
2017-07-14,18:00,2017,7,LATO,290.802490234375,284.7811737060547,67.80738246008198,-0.4102783203125,-0.5274620056152344,0.6682398278208894,52.122979602177,100415.81640625,8.642673492431641E-7
